title,score,genres,year
Black Panther,"87,103","Action & Adventure, Drama, Science Fiction & Fantasy",2018
McQueen,779,Documentary,2018
The Post,"11,860","Drama, Mystery & Suspense",2018
The Rider,"1,876",Drama,2018
Hereditary,"10,587","Drama, Horror",2018
Avengers: Infinity War,"53,949","Action & Adventure, Science Fiction & Fantasy",2018
Free Solo,"2,006",Documentary,2018
First Man,"7,468",Drama,2018
Isle of Dogs,"8,289","Action & Adventure, Animation, Comedy",2018
"I, Tonya","11,673",Drama,2018
Crazy Rich Asians,"11,067",Comedy,2018
Phantom Thread,"7,434",Drama,2018
The Death of Stalin,"5,838","Comedy, Drama",2018
Sorry to Bother You,"5,401","Comedy, Science Fiction & Fantasy",2018
Leaning Into the Wind,155,"Art House & International, Documentary",2018
Ant-Man and the Wasp,"22,176","Action & Adventure, Comedy, Science Fiction & Fantasy",2018
The Hate U Give,"3,617",Drama,2018
The Guardians (Les Gardiennes),369,"Art House & International, Drama",2018
A Simple Favor,"5,527",Mystery & Suspense,2018
Teen Titans Go! To the Movies,"3,188","Action & Adventure, Animation, Kids & Family",2018
In Fabric,38,,2018
Dark Money,153,Documentary,2018
Creed II,"4,353","Action & Adventure, Drama, Sports & Fitness",2018
American Animals,"2,615","Comedy, Drama, Mystery & Suspense",2018
Colette,"1,271",Drama,2018
Tully,"3,362",Comedy,2018
Private Life,877,Drama,2018
Journey's End,"1,152",Drama,2018
Revenge,"2,404","Action & Adventure, Mystery & Suspense",2018
Hearts Beat Loud,"1,553","Comedy, Drama",2018
CAM,908,"Horror, Mystery & Suspense",2018
Robin Williams: Come Inside My Mind,277,Documentary,2018
Bisbee '17,95,"Documentary, Western",2018
Support the Girls,378,Comedy,2018
Blaze,673,Drama,2018
Custody (Jusqu'à la garde),324,Drama,2018
Western,689,"Art House & International, Drama",2018
The Endless,"3,162","Horror, Mystery & Suspense, Science Fiction & Fantasy",2018
Beast,973,Drama,2018
Filmworker,212,"Art House & International, Documentary",2018
Lean on Pete,"1,374",Drama,2018
To All the Boys I've Loved Before,"4,119","Drama, Romance",2018
Ralph Breaks the Internet,"6,968","Animation, Comedy, Kids & Family, Science Fiction & Fantasy",2018
Marlina the Murderer in Four Acts,349,"Art House & International, Drama, Mystery & Suspense",2018
Thunder Road,"1,017",,2018
Ryuichi Sakamoto: Coda,132,Documentary,2018
"Hale County This Morning, This Evening",150,Documentary,2018
Sweet Country,610,"Action & Adventure, Art House & International, Drama",2018
On Her Shoulders,57,Documentary,2018
The Cakemaker,486,Drama,2018
I Am Not a Witch,647,"Art House & International, Drama",2018
Pick of the Litter,483,Documentary,2018
Annihilation,"12,109","Action & Adventure, Drama, Science Fiction & Fantasy",2018
Foxtrot,897,Drama,2018
Deadpool 2,"30,019","Action & Adventure, Comedy",2018
In Between,586,Drama,2018
You Were Never Really Here,"4,520","Drama, Mystery & Suspense",2018
Zama,416,Drama,2018
Hannah Gadsby: Nanette,473,,2018
Border (Gräns),834,"Art House & International, Mystery & Suspense, Science Fiction & Fantasy, Romance",2018
Blindspotting,"1,975","Comedy, Drama",2018
Burning (Beoning),"1,134","Art House & International, Drama, Mystery & Suspense",2018
Mandy,"3,597","Action & Adventure, Mystery & Suspense",2018
RBG,"1,865",Documentary,2018
"Love, Simon","7,093",Drama,2018
The Ballad of Buster Scruggs,"2,768","Drama, Western",2018
Loveless (Nelyubov),"1,687","Art House & International, Drama",2018
Oh Lucy!,681,"Comedy, Drama",2018
Night Comes On,362,Drama,2018
Science Fair,292,Documentary,2018
Cold War (Zimna wojna),"1,382",,2018
The Tale,546,Drama,2018
A Fantastic Woman (Una mujer fantástica),"2,367","Art House & International, Drama",2018
Shirkers,337,,2018
Tea With the Dames (Nothing Like a Dame),542,Documentary,2018
Searching,"5,808",Mystery & Suspense,2018
Wildlife,"1,578",Drama,2018
Bumblebee,"7,327",,2018
First Reformed,"3,046",Drama,2018
The Old Man & the Gun,"2,527",Drama,2018
Summer 1993 (Estiu 1993),634,"Art House & International, Drama",2018
Minding the Gap,492,Documentary,2018
Three Identical Strangers,"2,685",Documentary,2018
Shoplifters (Manbiki kazoku),"1,626","Art House & International, Drama",2018
Won't You Be My Neighbor?,"3,928",Documentary,2018
Widows,"4,294",,2018
Leave No Trace,"4,224",Drama,2018
The Guilty (Den skyldige),"1,038","Drama, Mystery & Suspense",2018
The Favourite,"5,557",Drama,2018
Incredibles 2,"16,778","Action & Adventure, Animation, Kids & Family",2018
Call Me by Your Name,"14,532",,2018
Paddington 2,"7,600","Animation, Comedy, Kids & Family",2018
Eighth Grade,"4,328",Comedy,2018
Can You Ever Forgive Me?,"2,337","Comedy, Drama",2018
A Quiet Place,"20,791","Drama, Horror, Mystery & Suspense",2018
A Star Is Born,"17,753",Drama,2018
Roma,"4,567",Drama,2018
Spider-Man: Into the Spider-Verse,"15,130","Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",2018
BlacKkKlansman,"8,787","Comedy, Drama",2018
Mission: Impossible - Fallout,"14,464","Action & Adventure, Drama, Mystery & Suspense",2018
